"Campo","Nacionalidad","Estado civil","Ocupación del cónyugue","Tipo de emprendimiento","Ciudad o localidad","Zona o barrio","Departamento"
"","","","","","","",""
"Opciones","Afganistán","Soltero(a)","Dependiente Privado","","","",""
"","Albania","Casado(a)","Dependiente del Estado o Sector Público","","","",""
"","Alemania","Viudo(a)","Independiente","","","",""
"","Andorra","Divorciado(a)","Labores de casa","","","",""
"","Angola","","Estudiante","","","",""
"","Anguila","","Comercio ","","","",""
"","Antigua y Barbuda","","","","","",""
"","Antillas Neerlandesas","","","","","",""
"","Arabia Saudí","","","","","",""
"","Argelia","","","","","",""
"","Argentina","","","","","",""
"","Armenia","","","","","",""
"","Aruba","","","","","",""
"","Australia","","","","","",""
"","Austria","","","","","",""
"","Azerbaiyán","","","","","",""
"","Bahamas","","","","","",""
"","Bangladesh","","","","","",""
"","Barbados","","","","","",""
"","Baréin","","","","","",""
"","Bélgica","","","","","",""
"","Belice","","","","","",""
"","Benín","","","","","",""
"","Bermudas","","","","","",""
"","Bielorrusia","","","","","",""
"","Bolivia","","","","","",""
"","Bosnia-Herzegovina","","","","","",""
"","Botsuana","","","","","",""
"","Brasil","","","","","",""
"","Brunéi","","","","","",""
"","Bulgaria","","","","","",""
"","Burkina Faso","","","","","",""
"","Burundi","","","","","",""
"","Bután","","","","","",""
"","Cabo Verde","","","","","",""
"","Camboya","","","","","",""
"","Camerún","","","","","",""
"","Canadá","","","","","",""
"","Caribe neerlandés","","","","","",""
"","Catar","","","","","",""
"","Chad","","","","","",""
"","Chile","","","","","",""
"","China","","","","","",""
"","Chipre","","","","","",""
"","Ciudad del Vaticano","","","","","",""
"","Colombia","","","","","",""
"","Comoras","","","","","",""
"","Corea del Norte","","","","","",""
"","Corea del Sur","","","","","",""
"","Costa de Marfil","","","","","",""
"","Costa Rica","","","","","",""
"","Croacia","","","","","",""
"","Cuba","","","","","",""
"","Curazao","","","","","",""
"","Dinamarca","","","","","",""
"","Dominica","","","","","",""
"","Ecuador","","","","","",""
"","Egipto","","","","","",""
"","El Salvador","","","","","",""
"","Emiratos Árabes Unidos","","","","","",""
"","Eritrea","","","","","",""
"","Eslovaquia","","","","","",""
"","Eslovenia","","","","","",""
"","España","","","","","",""
"","Estados Unidos","","","","","",""
"","Estonia","","","","","",""
"","Etiopía","","","","","",""
"","Filipinas","","","","","",""
"","Finlandia","","","","","",""
"","Fiyi","","","","","",""
"","Francia","","","","","",""
"","Gabón","","","","","",""
"","Gambia","","","","","",""
"","Georgia","","","","","",""
"","Ghana","","","","","",""
"","Gibraltar","","","","","",""
"","Granada","","","","","",""
"","Grecia","","","","","",""
"","Groenlandia","","","","","",""
"","Guadalupe","","","","","",""
"","Guam","","","","","",""
"","Guatemala","","","","","",""
"","Guayana Francesa","","","","","",""
"","Guernsey","","","","","",""
"","Guinea","","","","","",""
"","Guinea Ecuatorial","","","","","",""
"","Guinea-Bisáu","","","","","",""
"","Guyana","","","","","",""
"","Haití","","","","","",""
"","Honduras","","","","","",""
"","Hong Kong (RAE de China)","","","","","",""
"","Hungría","","","","","",""
"","India","","","","","",""
"","Indonesia","","","","","",""
"","Irak","","","","","",""
"","Irán","","","","","",""
